{'model': 'vgae', 'task': 'train', 'dataset': 'pokec_z', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.001, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on pokec_z ---
Starting Stage 1 (VGAE) training on pokec_z...
Epoch 27 | Train Loss: 9.6538 | Val Loss: 4.5985 | LS: 0.5781 | LX: 1.6932 | LA: 1.4816 | HGR: 0.0180 | KL: 0.7936 | Ent: -0.6196 | Time: 0.36s
Epoch 28 | Train Loss: 9.4849 | Val Loss: 4.6111 | LS: 0.5585 | LX: 1.7156 | LA: 1.4732 | HGR: 0.0094 | KL: 1.0504 | Ent: -0.6071 | Time: 0.36s
Epoch 29 | Train Loss: 9.3302 | Val Loss: 4.6364 | LS: 0.5404 | LX: 1.7316 | LA: 1.4643 | HGR: 0.0235 | KL: 1.3467 | Ent: -0.5954 | Time: 0.36s
Epoch 30 | Train Loss: 9.0810 | Val Loss: 4.6749 | LS: 0.5124 | LX: 1.7433 | LA: 1.4554 | HGR: 0.0294 | KL: 1.7996 | Ent: -0.5777 | Time: 0.36s
Epoch 31 | Train Loss: 8.8541 | Val Loss: 4.7016 | LS: 0.4860 | LX: 1.7437 | LA: 1.4455 | HGR: 0.0226 | KL: 2.5846 | Ent: -0.5464 | Time: 0.36s
Epoch 32 | Train Loss: 8.6036 | Val Loss: 4.7866 | LS: 0.4607 | LX: 1.7050 | LA: 1.4356 | HGR: 0.0082 | KL: 3.3094 | Ent: -0.5265 | Time: 0.36s
Epoch 33 | Train Loss: 8.4296 | Val Loss: 4.8242 | LS: 0.4385 | LX: 1.6699 | LA: 1.4260 | HGR: 0.0631 | KL: 4.5772 | Ent: -0.4842 | Time: 0.36s
Epoch 34 | Train Loss: 8.3019 | Val Loss: 4.9424 | LS: 0.4236 | LX: 1.6558 | LA: 1.4163 | HGR: -0.0148 | KL: 4.9704 | Ent: -0.5012 | Time: 0.36s
Epoch 35 | Train Loss: 8.1305 | Val Loss: 4.9599 | LS: 0.4009 | LX: 1.6442 | LA: 1.4094 | HGR: -0.0016 | KL: 6.2784 | Ent: -0.4421 | Time: 0.36s
Epoch 36 | Train Loss: 7.9778 | Val Loss: 4.9854 | LS: 0.3841 | LX: 1.6373 | LA: 1.4012 | HGR: 0.0191 | KL: 6.5441 | Ent: -0.4420 | Time: 0.36s
Epoch 37 | Train Loss: 7.8994 | Val Loss: 4.9999 | LS: 0.3764 | LX: 1.6329 | LA: 1.3939 | HGR: -0.0069 | KL: 6.6639 | Ent: -0.4453 | Time: 0.36s
Epoch 38 | Train Loss: 7.7221 | Val Loss: 4.9567 | LS: 0.3578 | LX: 1.6240 | LA: 1.3893 | HGR: 0.0290 | KL: 7.1953 | Ent: -0.4057 | Time: 0.36s
Epoch 39 | Train Loss: 7.5876 | Val Loss: 4.8904 | LS: 0.3472 | LX: 1.6230 | LA: 1.3830 | HGR: 0.0297 | KL: 6.8933 | Ent: -0.4130 | Time: 0.36s
Epoch 40 | Train Loss: 7.4763 | Val Loss: 4.8408 | LS: 0.3404 | LX: 1.6173 | LA: 1.3783 | HGR: 0.0289 | KL: 6.5981 | Ent: -0.4097 | Time: 0.36s
Epoch 41 | Train Loss: 7.3169 | Val Loss: 4.7465 | LS: 0.3293 | LX: 1.6048 | LA: 1.3767 | HGR: 0.0094 | KL: 6.6306 | Ent: -0.3767 | Time: 0.36s
Epoch 42 | Train Loss: 7.1469 | Val Loss: 4.6997 | LS: 0.3161 | LX: 1.6072 | LA: 1.3709 | HGR: 0.0486 | KL: 6.0073 | Ent: -0.3919 | Time: 0.36s
Epoch 43 | Train Loss: 7.0317 | Val Loss: 4.6535 | LS: 0.3102 | LX: 1.6010 | LA: 1.3679 | HGR: 0.0179 | KL: 5.7471 | Ent: -0.3805 | Time: 0.36s
Epoch 44 | Train Loss: 6.9591 | Val Loss: 4.6143 | LS: 0.3063 | LX: 1.5900 | LA: 1.3659 | HGR: 0.0350 | KL: 5.6969 | Ent: -0.3579 | Time: 0.36s
Epoch 45 | Train Loss: 6.8019 | Val Loss: 4.5863 | LS: 0.2933 | LX: 1.5906 | LA: 1.3590 | HGR: 0.0342 | KL: 5.3214 | Ent: -0.3745 | Time: 0.36s
Epoch 46 | Train Loss: 6.6912 | Val Loss: 4.5792 | LS: 0.2851 | LX: 1.5867 | LA: 1.3569 | HGR: 0.0323 | KL: 5.3698 | Ent: -0.3471 | Time: 0.36s
Epoch 47 | Train Loss: 6.6041 | Val Loss: 4.5778 | LS: 0.2774 | LX: 1.5867 | LA: 1.3529 | HGR: 0.0494 | KL: 5.2826 | Ent: -0.3415 | Time: 0.36s
Epoch 48 | Train Loss: 6.5327 | Val Loss: 4.6021 | LS: 0.2714 | LX: 1.5860 | LA: 1.3488 | HGR: 0.0365 | KL: 5.2876 | Ent: -0.3396 | Time: 0.36s
Epoch 49 | Train Loss: 6.4132 | Val Loss: 4.5757 | LS: 0.2606 | LX: 1.5800 | LA: 1.3489 | HGR: 0.0221 | KL: 5.6246 | Ent: -0.3063 | Time: 0.36s
Epoch 50 | Train Loss: 6.3551 | Val Loss: 4.5376 | LS: 0.2548 | LX: 1.5834 | LA: 1.3426 | HGR: 0.0430 | KL: 5.5895 | Ent: -0.3019 | Time: 0.36s
Epoch 51 | Train Loss: 6.2917 | Val Loss: 4.5770 | LS: 0.2485 | LX: 1.5812 | LA: 1.3358 | HGR: 0.0164 | KL: 5.7214 | Ent: -0.3097 | Time: 0.36s
Epoch 52 | Train Loss: 6.1328 | Val Loss: 4.6049 | LS: 0.2340 | LX: 1.5756 | LA: 1.3342 | HGR: 0.0101 | KL: 5.9677 | Ent: -0.2808 | Time: 0.36s
Epoch 53 | Train Loss: 6.0090 | Val Loss: 4.5965 | LS: 0.2215 | LX: 1.5715 | LA: 1.3329 | HGR: 0.0211 | KL: 6.1331 | Ent: -0.2660 | Time: 0.36s
Epoch 54 | Train Loss: 5.9371 | Val Loss: 4.5769 | LS: 0.2142 | LX: 1.5733 | LA: 1.3279 | HGR: 0.0358 | KL: 6.0748 | Ent: -0.2685 | Time: 0.36s
Epoch 55 | Train Loss: 5.8233 | Val Loss: 4.6395 | LS: 0.2037 | LX: 1.5739 | LA: 1.3272 | HGR: 0.0362 | KL: 6.1856 | Ent: -0.2488 | Time: 0.36s
Epoch 56 | Train Loss: 5.9035 | Val Loss: 4.6622 | LS: 0.2079 | LX: 1.5690 | LA: 1.3307 | HGR: 0.0435 | KL: 6.7509 | Ent: -0.2278 | Time: 0.36s
Epoch 57 | Train Loss: 5.8080 | Val Loss: 4.5581 | LS: 0.1987 | LX: 1.5705 | LA: 1.3265 | HGR: 0.0511 | KL: 6.7078 | Ent: -0.2273 | Time: 0.36s
Epoch 58 | Train Loss: 5.5738 | Val Loss: 4.5345 | LS: 0.1816 | LX: 1.5763 | LA: 1.3181 | HGR: 0.0148 | KL: 6.3027 | Ent: -0.2253 | Time: 0.36s
Epoch 59 | Train Loss: 5.5788 | Val Loss: 4.5705 | LS: 0.1838 | LX: 1.5742 | LA: 1.3159 | HGR: 0.0199 | KL: 6.1895 | Ent: -0.2217 | Time: 0.36s
Epoch 60 | Train Loss: 5.4718 | Val Loss: 4.5303 | LS: 0.1724 | LX: 1.5675 | LA: 1.3178 | HGR: 0.0362 | KL: 6.3755 | Ent: -0.2064 | Time: 0.36s
Epoch 61 | Train Loss: 5.3397 | Val Loss: 4.4723 | LS: 0.1618 | LX: 1.5660 | LA: 1.3151 | HGR: 0.0351 | KL: 6.2266 | Ent: -0.1999 | Time: 0.36s
Epoch 62 | Train Loss: 5.3526 | Val Loss: 4.4880 | LS: 0.1664 | LX: 1.5659 | LA: 1.3100 | HGR: 0.0143 | KL: 5.9710 | Ent: -0.2085 | Time: 0.36s
Epoch 63 | Train Loss: 5.3322 | Val Loss: 4.5340 | LS: 0.1656 | LX: 1.5650 | LA: 1.3089 | HGR: 0.0089 | KL: 5.9304 | Ent: -0.2050 | Time: 0.36s
Epoch 64 | Train Loss: 5.1490 | Val Loss: 4.4980 | LS: 0.1480 | LX: 1.5639 | LA: 1.3113 | HGR: -0.0054 | KL: 6.1110 | Ent: -0.1855 | Time: 0.36s
Epoch 65 | Train Loss: 5.1324 | Val Loss: 4.4418 | LS: 0.1461 | LX: 1.5630 | LA: 1.3100 | HGR: 0.0178 | KL: 6.0523 | Ent: -0.1843 | Time: 0.36s
Epoch 66 | Train Loss: 5.0498 | Val Loss: 4.4095 | LS: 0.1429 | LX: 1.5631 | LA: 1.3052 | HGR: -0.0085 | KL: 5.7194 | Ent: -0.1851 | Time: 0.36s
Epoch 67 | Train Loss: 4.9470 | Val Loss: 4.4639 | LS: 0.1324 | LX: 1.5609 | LA: 1.3031 | HGR: 0.0294 | KL: 5.6553 | Ent: -0.1785 | Time: 0.36s
Epoch 68 | Train Loss: 4.9764 | Val Loss: 4.4193 | LS: 0.1342 | LX: 1.5576 | LA: 1.3049 | HGR: 0.0228 | KL: 5.8977 | Ent: -0.1710 | Time: 0.36s
Epoch 69 | Train Loss: 4.9190 | Val Loss: 4.4070 | LS: 0.1314 | LX: 1.5579 | LA: 1.3032 | HGR: 0.0046 | KL: 5.7581 | Ent: -0.1661 | Time: 0.36s
Epoch 70 | Train Loss: 4.9241 | Val Loss: 4.3974 | LS: 0.1345 | LX: 1.5605 | LA: 1.2972 | HGR: -0.0107 | KL: 5.5732 | Ent: -0.1695 | Time: 0.36s
Epoch 71 | Train Loss: 4.9058 | Val Loss: 4.4407 | LS: 0.1322 | LX: 1.5608 | LA: 1.2947 | HGR: 0.0109 | KL: 5.5673 | Ent: -0.1665 | Time: 0.36s
Epoch 72 | Train Loss: 4.7468 | Val Loss: 4.4437 | LS: 0.1175 | LX: 1.5600 | LA: 1.2930 | HGR: -0.0046 | KL: 5.6706 | Ent: -0.1541 | Time: 0.36s
Epoch 73 | Train Loss: 4.7046 | Val Loss: 4.3534 | LS: 0.1138 | LX: 1.5568 | LA: 1.2914 | HGR: 0.0071 | KL: 5.7003 | Ent: -0.1447 | Time: 0.36s
Epoch 74 | Train Loss: 4.6830 | Val Loss: 4.3972 | LS: 0.1135 | LX: 1.5568 | LA: 1.2875 | HGR: 0.0072 | KL: 5.5091 | Ent: -0.1488 | Time: 0.36s
Epoch 75 | Train Loss: 4.5961 | Val Loss: 4.4823 | LS: 0.1064 | LX: 1.5567 | LA: 1.2854 | HGR: -0.0119 | KL: 5.5443 | Ent: -0.1411 | Time: 0.36s
Epoch 76 | Train Loss: 4.5888 | Val Loss: 4.4727 | LS: 0.1019 | LX: 1.5552 | LA: 1.2845 | HGR: 0.0001 | KL: 5.9188 | Ent: -0.1383 | Time: 0.36s
Epoch 77 | Train Loss: 4.6433 | Val Loss: 4.3856 | LS: 0.1078 | LX: 1.5561 | LA: 1.2813 | HGR: 0.0029 | KL: 5.9315 | Ent: -0.1328 | Time: 0.36s
Epoch 78 | Train Loss: 4.5031 | Val Loss: 4.3892 | LS: 0.0982 | LX: 1.5574 | LA: 1.2770 | HGR: -0.0198 | KL: 5.6803 | Ent: -0.1282 | Time: 0.36s
Epoch 79 | Train Loss: 4.4355 | Val Loss: 4.4515 | LS: 0.0925 | LX: 1.5559 | LA: 1.2762 | HGR: -0.0232 | KL: 5.6660 | Ent: -0.1238 | Time: 0.36s
Epoch 80 | Train Loss: 4.4395 | Val Loss: 4.4264 | LS: 0.0916 | LX: 1.5538 | LA: 1.2786 | HGR: -0.0347 | KL: 5.9065 | Ent: -0.1181 | Time: 0.36s
