{'model': 'gcn', 'task': 'train', 'dataset': 'pokec_z', 'dgl_data': False, 'device': 'cpu', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.01, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 64, 'latent_size': 32, 'hgr_steps_per_epoch': 2, 'lambda_hgr': 0.5, 'hidden_hgr': 64, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train GCN on pokec_z ---
Starting GCN training on pokec_z...
Epoch: 49 | Loss: 0.5995 | Val F1: 0.6789431545236189 | Val Acc: 0.6873 | Time: 0.2199s
Epoch: 50 | Loss: 0.5984 | Val F1: 0.6771972458485217 | Val Acc: 0.6893 | Time: 0.2204s
Epoch: 51 | Loss: 0.5977 | Val F1: 0.6761248479935144 | Val Acc: 0.6885 | Time: 0.2217s
Epoch: 52 | Loss: 0.5968 | Val F1: 0.6811419380780056 | Val Acc: 0.6908 | Time: 0.2198s
Epoch: 53 | Loss: 0.5957 | Val F1: 0.6830818109610802 | Val Acc: 0.6889 | Time: 0.2197s
Epoch: 54 | Loss: 0.5948 | Val F1: 0.6835643564356436 | Val Acc: 0.6885 | Time: 0.2200s
Epoch: 55 | Loss: 0.5938 | Val F1: 0.6855095541401274 | Val Acc: 0.6920 | Time: 0.2208s
Epoch: 56 | Loss: 0.5927 | Val F1: 0.6806114239742558 | Val Acc: 0.6904 | Time: 0.2195s
Epoch: 57 | Loss: 0.5916 | Val F1: 0.6827891979040709 | Val Acc: 0.6932 | Time: 0.2201s
Epoch: 58 | Loss: 0.5907 | Val F1: 0.6837469975980784 | Val Acc: 0.6920 | Time: 0.2200s
Epoch: 59 | Loss: 0.5895 | Val F1: 0.689408964696549 | Val Acc: 0.6947 | Time: 0.2198s
Epoch: 60 | Loss: 0.5884 | Val F1: 0.688511646269246 | Val Acc: 0.6924 | Time: 0.2202s
Epoch: 61 | Loss: 0.5874 | Val F1: 0.6894904458598726 | Val Acc: 0.6959 | Time: 0.2196s
Epoch: 62 | Loss: 0.5861 | Val F1: 0.6886299718762555 | Val Acc: 0.6979 | Time: 0.2195s
Epoch: 63 | Loss: 0.5849 | Val F1: 0.6913480885311871 | Val Acc: 0.7010 | Time: 0.2195s
Epoch: 64 | Loss: 0.5837 | Val F1: 0.6913285600636436 | Val Acc: 0.6975 | Time: 0.2208s
Epoch: 65 | Loss: 0.5823 | Val F1: 0.692246835443038 | Val Acc: 0.6967 | Time: 0.2201s
Epoch: 66 | Loss: 0.5810 | Val F1: 0.6942017474185862 | Val Acc: 0.6998 | Time: 0.2196s
Epoch: 67 | Loss: 0.5796 | Val F1: 0.6948130277442702 | Val Acc: 0.7041 | Time: 0.2196s
Epoch: 68 | Loss: 0.5782 | Val F1: 0.6960705693664796 | Val Acc: 0.7045 | Time: 0.2195s
Epoch: 69 | Loss: 0.5767 | Val F1: 0.7002778880508138 | Val Acc: 0.7057 | Time: 0.2198s
Epoch: 70 | Loss: 0.5752 | Val F1: 0.6997223324077747 | Val Acc: 0.7049 | Time: 0.2218s
Epoch: 71 | Loss: 0.5736 | Val F1: 0.699759807846277 | Val Acc: 0.7076 | Time: 0.2231s
Epoch: 72 | Loss: 0.5720 | Val F1: 0.7029188324670131 | Val Acc: 0.7103 | Time: 0.2205s
Epoch: 73 | Loss: 0.5704 | Val F1: 0.7060221870047544 | Val Acc: 0.7107 | Time: 0.2203s
Epoch: 74 | Loss: 0.5687 | Val F1: 0.7092930897537728 | Val Acc: 0.7146 | Time: 0.2197s
Epoch: 75 | Loss: 0.5669 | Val F1: 0.7054574638844302 | Val Acc: 0.7138 | Time: 0.2203s
Epoch: 76 | Loss: 0.5651 | Val F1: 0.7069582504970179 | Val Acc: 0.7127 | Time: 0.2199s
Epoch: 77 | Loss: 0.5633 | Val F1: 0.7091917591125199 | Val Acc: 0.7138 | Time: 0.2193s
Epoch: 78 | Loss: 0.5615 | Val F1: 0.7062600321027287 | Val Acc: 0.7146 | Time: 0.2202s
Epoch: 79 | Loss: 0.5596 | Val F1: 0.7091633466135459 | Val Acc: 0.7154 | Time: 0.2196s
Epoch: 80 | Loss: 0.5577 | Val F1: 0.7104216388225935 | Val Acc: 0.7162 | Time: 0.2198s
Epoch: 81 | Loss: 0.5558 | Val F1: 0.711919191919192 | Val Acc: 0.7220 | Time: 0.2193s
Epoch: 82 | Loss: 0.5540 | Val F1: 0.7195027195027195 | Val Acc: 0.7185 | Time: 0.2196s
Epoch: 83 | Loss: 0.5527 | Val F1: 0.6932541366143402 | Val Acc: 0.7181 | Time: 0.2199s
Epoch: 84 | Loss: 0.5535 | Val F1: 0.7223622614332013 | Val Acc: 0.6994 | Time: 0.2192s
Epoch: 85 | Loss: 0.5588 | Val F1: 0.6725120561157387 | Val Acc: 0.7088 | Time: 0.2194s
Epoch: 86 | Loss: 0.5583 | Val F1: 0.7050538525269263 | Val Acc: 0.7224 | Time: 0.2199s
Epoch: 87 | Loss: 0.5470 | Val F1: 0.7279151943462897 | Val Acc: 0.6998 | Time: 0.2202s
Epoch: 88 | Loss: 0.5597 | Val F1: 0.6964210526315789 | Val Acc: 0.7189 | Time: 0.2194s
Epoch: 89 | Loss: 0.5460 | Val F1: 0.6776859504132231 | Val Acc: 0.7111 | Time: 0.2204s
Epoch: 90 | Loss: 0.5513 | Val F1: 0.7270659590598939 | Val Acc: 0.7193 | Time: 0.2202s
Epoch: 91 | Loss: 0.5445 | Val F1: 0.7303370786516854 | Val Acc: 0.7193 | Time: 0.2216s
Epoch: 92 | Loss: 0.5454 | Val F1: 0.6908935442496793 | Val Acc: 0.7181 | Time: 0.2201s
Epoch: 93 | Loss: 0.5451 | Val F1: 0.6991596638655462 | Val Acc: 0.7209 | Time: 0.2193s
Epoch: 94 | Loss: 0.5412 | Val F1: 0.7307121661721068 | Val Acc: 0.7170 | Time: 0.2199s
Epoch: 95 | Loss: 0.5444 | Val F1: 0.7180301826846703 | Val Acc: 0.7232 | Time: 0.2213s
Epoch: 96 | Loss: 0.5370 | Val F1: 0.691484809584938 | Val Acc: 0.7189 | Time: 0.2216s
Epoch: 97 | Loss: 0.5421 | Val F1: 0.7191726332537789 | Val Acc: 0.7248 | Time: 0.2206s
Epoch: 98 | Loss: 0.5353 | Val F1: 0.7342056074766355 | Val Acc: 0.7228 | Time: 0.2199s
Epoch: 99 | Loss: 0.5393 | Val F1: 0.7031772575250836 | Val Acc: 0.7232 | Time: 0.2192s
Epoch: 100 | Loss: 0.5360 | Val F1: 0.7040731504571903 | Val Acc: 0.7224 | Time: 0.2195s
Epoch: 101 | Loss: 0.5347 | Val F1: 0.7340823970037453 | Val Acc: 0.7232 | Time: 0.2204s
Epoch: 102 | Loss: 0.5368 | Val F1: 0.71658615136876 | Val Acc: 0.7255 | Time: 0.2202s
